id,timestamp,longitude,latitude,description,geometry
0,1994/05/13 00:00:00+00,-121.8053,48.64056,Report 60: Missing Cattle and large footprints found Class B; Skagit County,POINT (-121.8053 48.64056)
1,1983/09/01 00:00:00+00,-121.0922,46.98333,Report 77: Couple hear vocalizations while camping at Milk Lake Class B; Kittitas County,POINT (-121.0922 46.98333)
2,2000/07/24 00:00:00+00,-117.6767,46.33333,Report 89: Fishermen hear large animal crashing through the brush in the Blue Mountains Class B; Columbia County,POINT (-117.6767 46.33333)
3,1985/07/01 00:00:00+00,-122.1914,46.04722,Report 270: Campers awakened by late-night visitor in the Indian Heaven Wilderness Class B; Skamania County,POINT (-122.1914 46.04722)
4,1992/08/29 00:00:00+00,-123.1967,47.5616,Report 283: Couple hear sounds and find footprints near Hoodsport Class B; Mason County,POINT (-123.1967 47.5616)
5,2000/08/16 00:00:00+00,-122.5386,47.0044,Report 337: Man working his land hears rock against wood sound and distant answer Class B; Pierce County,POINT (-122.5386 47.0044)
6,2000/07/21 00:00:00+00,-121.3051,46.8733,Report 382: Campers hear screams and wood knocking near Bumping Lake Class B; Yakima County,POINT (-121.3051 46.8733)
7,1999/05/12 00:00:00+00,-122.1914,47.79111,Report 391: Blocking of walking trail Class B; Snohomish County,POINT (-122.1914 47.79111)
8,2000/10/06 00:00:00+00,-120.5122,48.59694,Report 422: Campers hear possible vocalizations in the Okanogon Nat. Forest Class B; Okanogan County,POINT (-120.5122 48.59694)
9,1990/09/22 00:00:00+00,-122.3442,46.71,Report 568: Loud low moan then rose quickly to a high pitched scream heard Class B; Lewis County,POINT (-122.3442 46.71)
10,2000/09/14 00:00:00+00,-121.5825,45.91694,Report 741: Hunter finds unrecognizable scat near Guler Mountain.  Class B; Klickitat County,POINT (-121.5825 45.91694)
11,1968/08/30 00:00:00+00,-120.835,47.495,"Report 925: Backpacker observes a tall, early morning visitor in camp Class B; Chelan County",POINT (-120.835 47.495)
12,1975/08/10 00:00:00+00,-120.9591,47.8498,"Report 927: Campers hear loud animal ""roars"", from inside the treeline of a clear-cut Class B; Chelan County",POINT (-120.9591 47.8498)
13,1977/05/22 00:00:00+00,-120.6705,47.4644,Report 928: Hikers find tracks and a possible nest Class B; Chelan County,POINT (-120.6705 47.4644)
14,1997/05/15 00:00:00+00,-123.5864,48.0281,"Report 929: Camper experiences odd odors and sounds, feels presence Class B; Clallam County",POINT (-123.5864 48.0281)
15,1985/06/28 00:00:00+00,-122.3353,45.69,"Report 937: Witnesses hear odd, loud vocalization while in the forest traveling on a logging road Class B; Clark County",POINT (-122.3353 45.69)
